PCN,ISSUED,LOCATION,CONTRAVENTION,FINE,Last Pay Date,Total Paid,Balance,
LS38125215,19/06/2009,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23116039,19/06/2009,HUNSLET LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58126913,19/06/2009,OATLAND GREEN CP - SHEEPSCAR                                ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS3213894A,20/06/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS23116210,20/06/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS36108623,20/06/2009,MARKET PLACE CP - PUDSEY                                    ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS57104620,20/06/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS6511446A,21/06/2009,THE MARKETS CP - CITY,92 PARKED CAUSING AN OBSTRUCTION                  ,70,16/01/2020,0,0,
LS48129132,22/06/2009,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS63097064,22/06/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS19108547,23/06/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS13122851,24/06/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS1505871A,24/06/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS63097348,24/06/2009,COURTHOUSE STREET CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,25,0,
LS21127839,25/06/2009,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS45119063,25/06/2009,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,25,0,
LS45119132,25/06/2009,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58127585,25/06/2009,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS4711790A,26/06/2009,MARKET PLACE CP - PUDSEY                                    ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS10007325,27/06/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS75009847,27/06/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13123774,29/06/2009,PORTLAND CRESCENT CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS65115837,29/06/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS46116355,30/06/2009,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS33128351,30/06/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS36109160,01/07/2009,LEISURE CENTRE CP - PUDSEY                                  ,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,0,0,
LS1505952A,02/07/2009,CLAYPIT LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS23117563,02/07/2009,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23117574,02/07/2009,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS64112345,04/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS36109637,06/07/2009,WEST STREET CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS38126422,06/07/2009,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89613078,06/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS10009058,07/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS25146041,08/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS25146121,08/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS2514610A,08/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS40121443,08/07/2009,NORTH PARADE CP - OTLEY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13124620,09/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS13124584,09/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS40121556,09/07/2009,QUEENSWAY CP - MORLEY                                       ,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS10009455,10/07/2009,BECKETT ST LOWER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23118737,10/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS8958235A,10/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89582382,10/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS10009761,11/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58129784,11/07/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS15060824,13/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS31101966,13/07/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS50139354,13/07/2009,BECKETT ST UPPER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS15060788,13/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS31102335,14/07/2009,QUARRY HILL B CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS58130229,14/07/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS31102266,14/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89613442,14/07/2009,KIRKSTALL RD CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS21129696,15/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS2514726A,17/07/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS33130466,17/07/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS33130477,17/07/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS65118438,17/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS25147543,18/07/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS50139922,18/07/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS63099707,18/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS50140513,22/07/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,25,0,
LS55112377,24/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,30,0,
LS59079502,24/07/2009,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13125838,24/07/2009,MARKET PLACE CP - PUDSEY                                    ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS48130619,25/07/2009,WEST STREET CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS50141174,25/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS5014112A,25/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,25,-25,
LS33131582,27/07/2009,ROBIN LANE CP - PUDSEY                                      ,86 BEYOND THE BAY MARKINGS                        ,50,16/01/2020,25,0,
LS59079885,28/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS46119830,28/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS63100952,28/07/2009,HUNSLET LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS33131902,29/07/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS48131371,29/07/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS23120921,29/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS58132767,30/07/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS48131666,31/07/2009,NORTH PARADE CP - OTLEY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS89609183,31/07/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS65120917,01/08/2009,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS25149979,01/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS31104396,01/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS31104454,01/08/2009,MEADOW LANE CP - CITY,87 IN DISABLED BAY WITHOUT BADGE,70,16/01/2020,0,0,
LS46120625,03/08/2009,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13126921,04/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58133475,04/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS3313317A,04/08/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS13127028,05/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89641663,05/08/2009,MEADOW LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89641696,05/08/2009,MEADOW LANE CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS89674334,05/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89629668,06/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS25150865,06/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS33133602,07/08/2009,BECKETT ST UPPER CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,25,0,
LS65121556,07/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS76012144,07/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS50142982,08/08/2009,CROSSLEY STREET CP - WETHERBY                               ,80 PARKED FOR LONGER THAN THE MAXIMUM PERIOD,50,16/01/2020,0,0,
LS5908113A,08/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS65121760,08/08/2009,QUARRY HILL B CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS69105959,10/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89675789,10/08/2009,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58134194,10/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS89675891,10/08/2009,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS50143282,11/08/2009,QUEENSWAY CP - MORLEY                                       ,81 IN A RESTRICTED AREA IN A CAR PARK             ,70,16/01/2020,0,0,
LS50143340,11/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS76012417,11/08/2009,QUARRY HILL B CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS33134412,12/08/2009,CLAYPIT LANE CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS63102991,12/08/2009,BECKETT ST LOWER CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,25,0,
LS89688612,12/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS33134558,13/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS13127968,14/08/2009,PORTLAND CRESCENT CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS89643920,14/08/2009,QUARRY HILL D CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS31106074,14/08/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS33134853,14/08/2009,PORTLAND CRESCENT CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58134740,14/08/2009,THE MARKETS CP - CITY,83 WITHOUT DISPLAYING A VALID TICKET,50,16/01/2020,0,0,
LS58135073,15/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
LS58135018,15/08/2009,THE MARKETS CP - CITY,82 AFTER EXPIRY IN P+D CAR PARK,50,16/01/2020,0,0,
