Practice_Code,Practice_Name,LA_CODE,GOR10CD,Age_Band,PSEEN_TOTAL
V00043,BERKSHIRE COMMUNITY DENTAL SERVICE,E06000039,E12000008,CHILD_12_months,36
V00044,Dhiman Dental Surgery,E09000027,E12000007,ADULT_24_months,3293
V00044,Dhiman Dental Surgery,E09000027,E12000007,CHILD_12_months,970
V00045,Purity Dental Surgery,E08000027,E12000005,ADULT_24_months,8514
V00045,Purity Dental Surgery,E08000027,E12000005,CHILD_12_months,2173
V00046,Tilgate Dental Care Ltd,E10000032,E12000008,ADULT_24_months,2220
V00046,Tilgate Dental Care Ltd,E10000032,E12000008,CHILD_12_months,914
V00048,MR JK KOTECHA,E09000030,E12000007,ADULT_24_months,7132
V00048,MR JK KOTECHA,E09000030,E12000007,CHILD_12_months,2239
V00049,Abbeydale Road Family Dental Centre,E08000019,E12000003,ADULT_24_months,3343
V00049,Abbeydale Road Family Dental Centre,E08000019,E12000003,CHILD_12_months,1392
V00050,Norfolk Park Family Dental Centre,E08000019,E12000003,ADULT_24_months,1100
V00050,Norfolk Park Family Dental Centre,E08000019,E12000003,CHILD_12_months,302
V00051,MRS O SULAIMAN,E09000030,E12000007,ADULT_24_months,2364
V00051,MRS O SULAIMAN,E09000030,E12000007,CHILD_12_months,509
V00052,Cadmus Dental Care Limited,E06000018,E12000004,ADULT_24_months,4217
V00052,Cadmus Dental Care Limited,E06000018,E12000004,CHILD_12_months,971
V00053,Cadmus Dental Care Limited,E10000024,E12000004,ADULT_24_months,6001
V00053,Cadmus Dental Care Limited,E10000024,E12000004,CHILD_12_months,1776
V00054,BERKSHIRE COMMUNITY DENTAL SERVICE,E06000037,E12000008,ADULT_24_months,480
V00054,BERKSHIRE COMMUNITY DENTAL SERVICE,E06000037,E12000008,CHILD_12_months,350
V00056,Rodericks Dental Limited,E10000025,E12000008,ADULT_24_months,7407
V00056,Rodericks Dental Limited,E10000025,E12000008,CHILD_12_months,2072
V00057,Whitecross Dental Care Limited,E10000028,E12000005,ADULT_24_months,8445
V00057,Whitecross Dental Care Limited,E10000028,E12000005,CHILD_12_months,2598
V00058,Whitecross Dental Care Limited,E08000035,E12000003,ADULT_24_months,5996
V00058,Whitecross Dental Care Limited,E08000035,E12000003,CHILD_12_months,2007
V00059,Somerset Partnership NHS Foundation Trust,E06000046,E12000008,ADULT_24_months,6
V00059,Somerset Partnership NHS Foundation Trust,E06000046,E12000008,CHILD_12_months,96
V00060,IDH 450 Limited,E08000010,E12000002,ADULT_24_months,5308
V00060,IDH 450 Limited,E08000010,E12000002,CHILD_12_months,1382
V00062,MRS TO ILORI,E10000016,E12000008,ADULT_24_months,533
V00062,MRS TO ILORI,E10000016,E12000008,CHILD_12_months,258
V00063,Crofton Park Dental Practice Ltd,E09000023,E12000007,ADULT_24_months,2209
V00063,Crofton Park Dental Practice Ltd,E09000023,E12000007,CHILD_12_months,658
V00064,Moston Dental Surgery,E08000003,E12000002,ADULT_24_months,6401
V00064,Moston Dental Surgery,E08000003,E12000002,CHILD_12_months,2576
V00065,Whitecross Dental Care Limited,E06000007,E12000002,ADULT_24_months,4401
V00065,Whitecross Dental Care Limited,E06000007,E12000002,CHILD_12_months,1419
V00066,Whitecross Dental Care Limited,E10000028,E12000005,ADULT_24_months,6294
V00066,Whitecross Dental Care Limited,E10000028,E12000005,CHILD_12_months,1630
V00067,MR FN PLAHE,E06000003,E12000001,ADULT_24_months,45
V00067,MR FN PLAHE,E06000003,E12000001,CHILD_12_months,237
V00068,MR RS ELSTON,E06000003,E12000001,ADULT_24_months,1717
V00068,MR RS ELSTON,E06000003,E12000001,CHILD_12_months,283
V00069,MISS KL WILLOUGHBY,E06000003,E12000001,ADULT_24_months,2225
V00069,MISS KL WILLOUGHBY,E06000003,E12000001,CHILD_12_months,435
V00070,Mr B Johnson and Ms F Beaty,E06000003,E12000001,ADULT_24_months,8747
V00070,Mr B Johnson and Ms F Beaty,E06000003,E12000001,CHILD_12_months,2722
V00070,"Mr B Johnson, Ms F Beaty and Mr A Quinn",E06000003,E12000001,ADULT_24_months,2710
V00070,"Mr B Johnson, Ms F Beaty and Mr A Quinn",E06000003,E12000001,CHILD_12_months,610
V00071,Whitecross Dental Care Limited,E06000003,E12000001,ADULT_24_months,3629
V00071,Whitecross Dental Care Limited,E06000003,E12000001,CHILD_12_months,924
V00072,MRS JH ELSTON,E06000003,E12000001,ADULT_24_months,1960
V00072,MRS JH ELSTON,E06000003,E12000001,CHILD_12_months,367
V00073,Miss H Almond & Mr M Barnett,E06000003,E12000001,ADULT_24_months,2525
V00073,Miss H Almond & Mr M Barnett,E06000003,E12000001,CHILD_12_months,543
V00073,Mr M Pearson & Ms J Russell,E06000003,E12000001,ADULT_24_months,3078
V00073,Mr M Pearson & Ms J Russell,E06000003,E12000001,CHILD_12_months,907
V00075,MR CJ SHERWIN,E06000003,E12000001,ADULT_24_months,391
V00075,MR CJ SHERWIN,E06000003,E12000001,CHILD_12_months,389
V00077,MR DM MALPASS,E06000003,E12000001,ADULT_24_months,2833
V00077,MR DM MALPASS,E06000003,E12000001,CHILD_12_months,665
V00078,Roseberry Dental Practice,E06000003,E12000001,ADULT_24_months,4160
V00078,Roseberry Dental Practice,E06000003,E12000001,CHILD_12_months,963
V00081,MR NJ HUNTLEY,E06000002,E12000001,ADULT_24_months,247
V00081,MR NJ HUNTLEY,E06000002,E12000001,CHILD_12_months,683
V00082,Genix Healthcare Ltd,E06000002,E12000001,ADULT_24_months,4178
V00082,Genix Healthcare Ltd,E06000002,E12000001,CHILD_12_months,1278
V00083,Genix Healthcare Ltd,E06000002,E12000001,ADULT_24_months,3599
V00083,Genix Healthcare Ltd,E06000002,E12000001,CHILD_12_months,1034
V00085,MR MB SPICER,E06000002,E12000001,ADULT_24_months,15
V00088,Whitecross Dental Care Limited,E06000002,E12000001,ADULT_24_months,4572
V00088,Whitecross Dental Care Limited,E06000002,E12000001,CHILD_12_months,1646
V00091,MISS L POWELL,E06000002,E12000001,ADULT_24_months,7835
V00091,MISS L POWELL,E06000002,E12000001,CHILD_12_months,2304
V00094,OASIS DENTAL CARE LTD,E06000002,E12000001,ADULT_24_months,7081
V00094,OASIS DENTAL CARE LTD,E06000002,E12000001,CHILD_12_months,1951
V00095,Ormesby Dental Practice Partnership,E06000002,E12000001,ADULT_24_months,1091
V00095,Ormesby Dental Practice Partnership,E06000002,E12000001,CHILD_12_months,291
V00095,Whitecross Dental Care Limited,E06000002,E12000001,ADULT_24_months,5941
V00095,Whitecross Dental Care Limited,E06000002,E12000001,CHILD_12_months,1967
V00097,MR SG HEMSLEY,E06000002,E12000001,ADULT_24_months,2295
V00097,MR SG HEMSLEY,E06000002,E12000001,CHILD_12_months,578
V00098,MR AR FLETCHER,E06000002,E12000001,ADULT_24_months,6039
V00098,MR AR FLETCHER,E06000002,E12000001,CHILD_12_months,1999
V00098,MR NA FOX,E06000002,E12000001,ADULT_24_months,59
V00098,MR NA FOX,E06000002,E12000001,CHILD_12_months,134
V00100,Lambert Coutts & Associates Dental Practice Partnership,E06000001,E12000001,ADULT_24_months,5201
V00100,Lambert Coutts & Associates Dental Practice Partnership,E06000001,E12000001,CHILD_12_months,1013
V00101,Elliott & McCarthy Dental Surgery,E06000001,E12000001,ADULT_24_months,3762
V00101,Elliott & McCarthy Dental Surgery,E06000001,E12000001,CHILD_12_months,1562
V00102,Bentley Mathieson Dentalcare,E06000001,E12000001,ADULT_24_months,6707
V00102,Bentley Mathieson Dentalcare,E06000001,E12000001,CHILD_12_months,1711
V00103,Grace Dental Care Partnership,E06000001,E12000001,ADULT_24_months,2606
V00103,Grace Dental Care Partnership,E06000001,E12000001,CHILD_12_months,634
V00104,MR ND SMITH,E06000001,E12000001,ADULT_24_months,8569
V00104,MR ND SMITH,E06000001,E12000001,CHILD_12_months,1981
V00109,Hartlepool Dental Practice Partnership,E06000001,E12000001,ADULT_24_months,9374
V00109,Hartlepool Dental Practice Partnership,E06000001,E12000001,CHILD_12_months,2021
V00113,Dentapol Ltd,E10000009,E12000009,ADULT_24_months,7898
V00113,Dentapol Ltd,E10000009,E12000009,CHILD_12_months,1557
V00114,MISS EM ALLEN,E06000004,E12000001,ADULT_24_months,1917
V00114,MISS EM ALLEN,E06000004,E12000001,CHILD_12_months,392
V00115,MR C WENHAM,E06000004,E12000001,ADULT_24_months,24
V00115,MR C WENHAM,E06000004,E12000001,CHILD_12_months,275
V00117,MISS K HORNE,E06000004,E12000001,ADULT_24_months,2294
V00117,MISS K HORNE,E06000004,E12000001,CHILD_12_months,317
V00118,MR PA AVERLEY,E06000004,E12000001,ADULT_24_months,5423
V00118,MR PA AVERLEY,E06000004,E12000001,CHILD_12_months,2422
V00123,OASIS DENTAL CARE LTD,E06000004,E12000001,ADULT_24_months,4938
V00123,OASIS DENTAL CARE LTD,E06000004,E12000001,CHILD_12_months,1815
V00124,Whitecross Dental Care Limited,E06000004,E12000001,ADULT_24_months,5853
V00124,Whitecross Dental Care Limited,E06000004,E12000001,CHILD_12_months,1436
V00125,Ingleby Meadow Dental Practice Partnership,E06000004,E12000001,ADULT_24_months,3735
V00125,Ingleby Meadow Dental Practice Partnership,E06000004,E12000001,CHILD_12_months,1274
V00127,MR PC WOODHOUSE,E06000004,E12000001,ADULT_24_months,7665
V00127,MR PC WOODHOUSE,E06000004,E12000001,CHILD_12_months,2085
V00128,Mr Michael Stanley Hulley,E06000004,E12000001,ADULT_24_months,9326
V00128,Mr Michael Stanley Hulley,E06000004,E12000001,CHILD_12_months,3932
V00129,Thornaby Dental Centre,E06000004,E12000001,ADULT_24_months,4048
V00129,Thornaby Dental Centre,E06000004,E12000001,CHILD_12_months,1228
V00130,MR AM SPIVEY,E06000004,E12000001,ADULT_24_months,4147
V00130,MR AM SPIVEY,E06000004,E12000001,CHILD_12_months,1064
V00131,Hardwick Dental Practice,E06000004,E12000001,ADULT_24_months,3577
V00131,Hardwick Dental Practice,E06000004,E12000001,CHILD_12_months,1010
V00132,Yarm Road Dental Practice,E06000004,E12000001,ADULT_24_months,211
V00132,Yarm Road Dental Practice,E06000004,E12000001,CHILD_12_months,174
V00133,Grace Dental Care Partnership,E06000004,E12000001,ADULT_24_months,3397
V00133,Grace Dental Care Partnership,E06000004,E12000001,CHILD_12_months,959
V00134,Lynes Dental Surgery,E06000004,E12000001,ADULT_24_months,629
V00134,Lynes Dental Surgery,E06000004,E12000001,CHILD_12_months,571
V00134,MRS MJ LYNE,E06000004,E12000001,ADULT_24_months,1
V00135,MR TR LEWIS,E06000004,E12000001,ADULT_24_months,188
V00135,MR TR LEWIS,E06000004,E12000001,CHILD_12_months,915
V00136,The Fairfield Dental Practice Partnership,E06000004,E12000001,ADULT_24_months,3160
V00136,The Fairfield Dental Practice Partnership,E06000004,E12000001,CHILD_12_months,647
V00137,"Ladhar, Ladhar and Dinsdale",E06000004,E12000001,ADULT_24_months,3024
V00137,"Ladhar, Ladhar and Dinsdale",E06000004,E12000001,CHILD_12_months,1243
V00143,Pearl Smile Limited,E08000004,E12000002,ADULT_24_months,2277
V00143,Pearl Smile Limited,E08000004,E12000002,CHILD_12_months,610
V00144,Mrs S Riaz,E08000004,E12000002,ADULT_24_months,1986
V00144,Mrs S Riaz,E08000004,E12000002,CHILD_12_months,646
V00146,P&J Noble Dental Practice,E08000004,E12000002,ADULT_24_months,263
V00146,P&J Noble Dental Practice,E08000004,E12000002,CHILD_12_months,463
V00147,MR P PONG,E08000004,E12000002,ADULT_24_months,0
V00147,MR P PONG,E08000004,E12000002,CHILD_12_months,429
V00149,"J Ahmad, M Hallen, A Persson & A Alfredsson",E10000018,E12000004,ADULT_24_months,7083
V00149,"J Ahmad, M Hallen, A Persson & A Alfredsson",E10000018,E12000004,CHILD_12_months,1751
V00152,Pritchards Dental Practice Ltd,E08000004,E12000002,ADULT_24_months,1351
V00152,Pritchards Dental Practice Ltd,E08000004,E12000002,CHILD_12_months,1015
V00153,Heyside Dental Practice Partnership,E08000004,E12000002,ADULT_24_months,1826
V00153,Heyside Dental Practice Partnership,E08000004,E12000002,CHILD_12_months,314
V00156,MR HL SHOWMAN,E08000004,E12000002,ADULT_24_months,6965
V00156,MR HL SHOWMAN,E08000004,E12000002,CHILD_12_months,2074
V00158,OASIS DENTAL CARE LTD,E08000004,E12000002,ADULT_24_months,3574
V00158,OASIS DENTAL CARE LTD,E08000004,E12000002,CHILD_12_months,1074
V00163,Park House Lees,E08000004,E12000002,ADULT_24_months,1929
V00163,Park House Lees,E08000004,E12000002,CHILD_12_months,691
V00164,Ripponden Road Dental Practice Partnership,E08000004,E12000002,ADULT_24_months,4272
V00164,Ripponden Road Dental Practice Partnership,E08000004,E12000002,CHILD_12_months,1535
V00165,Mrs JL Lapidus,E08000004,E12000002,ADULT_24_months,1771
V00165,Mrs JL Lapidus,E08000004,E12000002,CHILD_12_months,472
V00167,MR N NAEEM,E08000004,E12000002,ADULT_24_months,77
V00167,MR N NAEEM,E08000004,E12000002,CHILD_12_months,365
V00168,MR IA MIRZA,E08000004,E12000002,ADULT_24_months,1148
V00168,MR IA MIRZA,E08000004,E12000002,CHILD_12_months,374
V00168,Mr N Patel,E08000004,E12000002,ADULT_24_months,1667
V00168,Mr N Patel,E08000004,E12000002,CHILD_12_months,374
V00169,MR GT PHILOBBOS,E08000004,E12000002,ADULT_24_months,669
V00169,MR GT PHILOBBOS,E08000004,E12000002,CHILD_12_months,178
V00170,JF Scott Dental Surgeon Partnership,E08000004,E12000002,ADULT_24_months,4190
V00170,JF Scott Dental Surgeon Partnership,E08000004,E12000002,CHILD_12_months,1992
V00171,Hollinwood Dental Practice,E08000004,E12000002,ADULT_24_months,3306
V00171,Hollinwood Dental Practice,E08000004,E12000002,CHILD_12_months,734
V00172,Petrie Tucker & Partners Ltd,E08000004,E12000002,ADULT_24_months,4233
V00172,Petrie Tucker & Partners Ltd,E08000004,E12000002,CHILD_12_months,912
V00174,MR I RAI,E09000009,E12000007,ADULT_24_months,191
V00174,MR I RAI,E09000009,E12000007,CHILD_12_months,211
V00177,Church Road Dental Care,E10000032,E12000008,ADULT_24_months,987
V00177,Church Road Dental Care,E10000032,E12000008,CHILD_12_months,479
V00178,IDH Limited,E10000021,E12000004,ADULT_24_months,6576
V00178,IDH Limited,E10000021,E12000004,CHILD_12_months,2308
V00179,MRS AK KHATKAR,E08000028,E12000005,ADULT_24_months,3298
V00179,MRS AK KHATKAR,E08000028,E12000005,CHILD_12_months,1360
V00180,MR D SHAH,E09000022,E12000007,ADULT_24_months,1207
V00180,MR D SHAH,E09000022,E12000007,CHILD_12_months,320
V00181,Ward End Dental Practice Partnership,E08000025,E12000005,ADULT_24_months,4447
V00181,Ward End Dental Practice Partnership,E08000025,E12000005,CHILD_12_months,3095
V00183,Petrie Tucker & Partners Ltd,E06000054,E12000009,ADULT_24_months,8509
V00183,Petrie Tucker & Partners Ltd,E06000054,E12000009,CHILD_12_months,2020
V00186,543 Dental Centre Limited,E06000010,E12000003,ADULT_24_months,22942
V00186,543 Dental Centre Limited,E06000010,E12000003,CHILD_12_months,5310
V00187,Community Dental Services CIC,E06000055,E12000006,ADULT_24_months,257
V00187,Community Dental Services CIC,E06000055,E12000006,CHILD_12_months,13
V00188,Dental Care Direct Ltd,E08000036,E12000003,ADULT_24_months,86
V00188,MCM Dental Services Ltd,E08000036,E12000003,ADULT_24_months,10089
V00188,MCM Dental Services Ltd,E08000036,E12000003,CHILD_12_months,4267
V00189,MR AS DEOL,E10000031,E12000005,ADULT_24_months,15727
V00189,MR AS DEOL,E10000031,E12000005,CHILD_12_months,4457
V00190,"M Brown, J Srotyr, A Joshi and K Kumar",E09000030,E12000007,ADULT_24_months,2260
V00190,"M Brown, J Srotyr, A Joshi and K Kumar",E09000030,E12000007,CHILD_12_months,1142
V00191,Seven Dental & 2 Colwick Road,E06000018,E12000004,ADULT_24_months,20702
V00191,Seven Dental & 2 Colwick Road,E06000018,E12000004,CHILD_12_months,6229
V00192,MR R KUMAR,E08000028,E12000005,ADULT_24_months,1712
V00192,MR R KUMAR,E08000028,E12000005,CHILD_12_months,548
V00193,MR PK CHOPRA,E10000016,E12000008,ADULT_24_months,8223
V00193,MR PK CHOPRA,E10000016,E12000008,CHILD_12_months,2190
V00194,SimplyOne Dental Droylsden,E08000008,E12000002,ADULT_24_months,7136
V00194,SimplyOne Dental Droylsden,E08000008,E12000002,CHILD_12_months,2112
V00197,MR A BEHNIA,E10000029,E12000006,ADULT_24_months,1611
V00197,MR A BEHNIA,E10000029,E12000006,CHILD_12_months,406
V00198,Pall Mall Dental Limited,E06000021,E12000005,ADULT_24_months,2888
V00198,Pall Mall Dental Limited,E06000021,E12000005,CHILD_12_months,709
V00201,MR DM VALLANCE,E08000004,E12000002,ADULT_24_months,4292
V00201,MR DM VALLANCE,E08000004,E12000002,CHILD_12_months,1422
V00202,MISS V IZADPANAHI,E09000009,E12000007,ADULT_24_months,969
V00202,MISS V IZADPANAHI,E09000009,E12000007,CHILD_12_months,723
V00203,Railway Road Dental Practice Patnership,E06000008,E12000002,ADULT_24_months,8250
V00203,Railway Road Dental Practice Patnership,E06000008,E12000002,CHILD_12_months,3118
V00204,OASIS DENTAL CARE LTD,E06000047,E12000001,ADULT_24_months,6400
V00204,OASIS DENTAL CARE LTD,E06000047,E12000001,CHILD_12_months,1817
V00206,MR MA HYDER,E06000047,E12000001,ADULT_24_months,4025
V00206,MR MA HYDER,E06000047,E12000001,CHILD_12_months,1014
V00208,MR HS BASRA,E06000047,E12000001,ADULT_24_months,1279
V00208,MR HS BASRA,E06000047,E12000001,CHILD_12_months,218
V00209,Park Road Dental Practice,E10000016,E12000008,ADULT_24_months,6298
V00209,Park Road Dental Practice,E10000016,E12000008,CHILD_12_months,1611
V00210,IDH Limited,E06000047,E12000001,ADULT_24_months,3063
V00210,IDH Limited,E06000047,E12000001,CHILD_12_months,875
V00214,Jeyarajan Dental Care Ltd.,E06000047,E12000001,ADULT_24_months,6258
V00214,Jeyarajan Dental Care Ltd.,E06000047,E12000001,CHILD_12_months,1828
V00215,Smileright Limited,E06000030,E12000009,ADULT_24_months,10851
V00215,Smileright Limited,E06000030,E12000009,CHILD_12_months,3326
V00216,Wentworth House Dental Practice,E06000047,E12000001,ADULT_24_months,2310
V00216,Wentworth House Dental Practice,E06000047,E12000001,CHILD_12_months,700
V00217,The Castle Dental Practice Ltd.,E06000047,E12000001,ADULT_24_months,6075
V00217,The Castle Dental Practice Ltd.,E06000047,E12000001,CHILD_12_months,1242
V00219,MR A ABRAHAM,E06000047,E12000001,ADULT_24_months,4377
V00219,MR A ABRAHAM,E06000047,E12000001,CHILD_12_months,668
V00221,MR N SUGGETT,E06000047,E12000001,ADULT_24_months,4278
V00221,MR N SUGGETT,E06000047,E12000001,CHILD_12_months,1288
V00222,Castle Dene Dental Surgery,E06000047,E12000001,ADULT_24_months,3820
V00222,Castle Dene Dental Surgery,E06000047,E12000001,CHILD_12_months,832
V00223,MR NC RODRIGUES,E09000022,E12000007,ADULT_24_months,2853
V00223,MR NC RODRIGUES,E09000022,E12000007,CHILD_12_months,573
V00224,MR VO AKINSOLA,E09000028,E12000007,ADULT_24_months,2148
V00224,MR VO AKINSOLA,E09000028,E12000007,CHILD_12_months,554
V00225,MR BH ANNOBIL,E09000028,E12000007,ADULT_24_months,4040
V00225,MR BH ANNOBIL,E09000028,E12000007,CHILD_12_months,505
V00226,Ms F Brown and Mr M Ellis,E06000047,E12000001,ADULT_24_months,9139
V00226,Ms F Brown and Mr M Ellis,E06000047,E12000001,CHILD_12_months,2152
V00227,Bishop Auckland Partnership,E06000047,E12000001,ADULT_24_months,3030
V00227,Bishop Auckland Partnership,E06000047,E12000001,CHILD_12_months,613
V00228,MR GK OOI,E09000022,E12000007,ADULT_24_months,3239
V00228,MR GK OOI,E09000022,E12000007,CHILD_12_months,759
V00229,MR N AGGARWAL,E06000047,E12000001,ADULT_24_months,3000
V00229,MR N AGGARWAL,E06000047,E12000001,CHILD_12_months,564
V00229,Novident Dental Practice,E06000047,E12000001,ADULT_24_months,725
V00229,Novident Dental Practice,E06000047,E12000001,CHILD_12_months,99
V00232,MR CC BAILIE,E09000028,E12000007,ADULT_24_months,2788
V00232,MR CC BAILIE,E09000028,E12000007,CHILD_12_months,768
V00235,MR JT BLANKENDAAL,E09000028,E12000007,ADULT_24_months,4079
V00235,MR JT BLANKENDAAL,E09000028,E12000007,CHILD_12_months,1435
V00237,MR MW ALEXANDER,E06000047,E12000001,ADULT_24_months,2066
V00237,MR MW ALEXANDER,E06000047,E12000001,CHILD_12_months,276
V00238,MS M AZARI,E09000023,E12000007,ADULT_24_months,3583
V00238,MS M AZARI,E09000023,E12000007,CHILD_12_months,906
V00239,Real Sweden Ltd,E09000022,E12000007,ADULT_24_months,3547
V00239,Real Sweden Ltd,E09000022,E12000007,CHILD_12_months,836
V00240,Community Dental Centres Ltd,E10000027,E12000009,ADULT_24_months,10517
V00240,Community Dental Centres Ltd,E10000027,E12000009,CHILD_12_months,2639
V00241,MR MA HYDER,E06000047,E12000001,ADULT_24_months,2406
V00241,MR MA HYDER,E06000047,E12000001,CHILD_12_months,698
V00242,MR A NAYYAR,E06000047,E12000001,ADULT_24_months,4083
V00242,MR A NAYYAR,E06000047,E12000001,CHILD_12_months,1121
V00243,MR MA HYDER,E06000047,E12000001,ADULT_24_months,1513
V00243,MR MA HYDER,E06000047,E12000001,CHILD_12_months,371
V00244,IDH Limited,E10000020,E12000006,ADULT_24_months,4258
V00244,IDH Limited,E10000020,E12000006,CHILD_12_months,1105
V00247,MR N PATEL,E10000002,E12000008,ADULT_24_months,4456
V00247,MR N PATEL,E10000002,E12000008,CHILD_12_months,1916
V00248,Whitecross Dental Care Limited,E08000035,E12000003,ADULT_24_months,4460
V00248,Whitecross Dental Care Limited,E08000035,E12000003,CHILD_12_months,1562
V00249,MRS ME SHAW,E10000002,E12000008,ADULT_24_months,351
V00249,MRS ME SHAW,E10000002,E12000008,CHILD_12_months,736
V00251,Olive Dental Care Ltd,E10000029,E12000006,ADULT_24_months,2389
V00251,Olive Dental Care Ltd,E10000029,E12000006,CHILD_12_months,481
V00252,MISS CA NEVILLE,E10000029,E12000006,ADULT_24_months,103
V00252,MISS CA NEVILLE,E10000029,E12000006,CHILD_12_months,292
V00252,MR DP BELLAMY,E10000029,E12000006,ADULT_24_months,122
V00252,MR DP BELLAMY,E10000029,E12000006,CHILD_12_months,316
V00254,MR TI DAVIES,E10000029,E12000006,ADULT_24_months,49
V00254,MR TI DAVIES,E10000029,E12000006,CHILD_12_months,179
V00255,Clock House Dental Practice,E06000014,E12000003,ADULT_24_months,10412
V00255,Clock House Dental Practice,E06000014,E12000003,CHILD_12_months,3452
V00258,Littlemoor Dental Surgery,E10000009,E12000009,ADULT_24_months,699
V00258,Littlemoor Dental Surgery,E10000009,E12000009,CHILD_12_months,120
V00259,MR PJ MORGAN,E10000009,E12000009,ADULT_24_months,3221
V00259,MR PJ MORGAN,E10000009,E12000009,CHILD_12_months,654
V00260,MR BG PARNELL,E10000009,E12000009,ADULT_24_months,2227
V00260,MR BG PARNELL,E10000009,E12000009,CHILD_12_months,306
V00262,Mrs DS Banuri,E10000009,E12000009,ADULT_24_months,1358
V00262,Mrs DS Banuri,E10000009,E12000009,CHILD_12_months,233
V00264,Weymouth and Bridges Dental Practice Partnership,E10000009,E12000009,ADULT_24_months,3918
V00264,Weymouth and Bridges Dental Practice Partnership,E10000009,E12000009,CHILD_12_months,774
